event_id,start_date,end_date,term,legacy_term,week_code,cycle,weekday,event,category,display_section,audience,priority,is_tbc,source_file,notes
59a09e14,2026-09-22,2026-09-22,Term 1 2026/27,Michaelmas Term,M5A,A,Tuesday,PD Session,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
8534ddcc,2026-09-23,2026-09-23,Term 1 2026/27,Michaelmas Term,M5A,A,Wednesday,Yr 7 - 13 interim report 0 open (internal use only),Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11;Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
9bc6c2c1,2026-09-28,2026-10-02,Term 1 2026/27,Michaelmas Term,M6B,B,,Yr 12 progress check,Progress check,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
dbf1e247,2026-09-30,2026-09-30,Term 1 2026/27,Michaelmas Term,M6B,B,Wednesday,Departmental SEF & DIP completion due,Admin deadline,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
61aac131,2026-10-01,2026-10-01,Term 1 2026/27,Michaelmas Term,M6B,B,Thursday,Exeter 2,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
0c68faac,2026-10-05,2026-10-05,Term 1 2026/27,Michaelmas Term,M7A,A,Monday,every tutor to made contact by the end of this week,Academic Key Date,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
71023552,2026-10-06,2026-10-06,Term 1 2026/27,Michaelmas Term,M7A,A,Tuesday,HoD to check data by this date,Data / analytics,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c035d5eb,2026-10-07,2026-10-07,Term 1 2026/27,Michaelmas Term,M7A,A,Wednesday,(internal use only),Academic Key Date,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
7023ed49,2026-10-07,2026-10-07,Term 1 2026/27,Michaelmas Term,M7A,A,Wednesday,Yr 7 - 13 interim report 0 closes at 12pm,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11;Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
76071f94,2026-10-08,2026-10-08,Term 1 2026/27,Michaelmas Term,M7A,A,Thursday,Power BI data analysis completion,Data / analytics,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
26dfcb5e,2026-10-08,2026-10-08,Term 1 2026/27,Michaelmas Term,M7A,A,Thursday,Year 10 PTC,Parent Teacher Conference,Academic Key Dates,Y10,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
56962519,2026-10-13,2026-10-13,Term 1 2026/27,Michaelmas Term,M8B,B,Tuesday,School closed,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
e61f79ae,2026-10-14,2026-10-14,Term 1 2026/27,Michaelmas Term,M8B,B,Wednesday,Year 11 Options workshop for parents and students (3pm),Staff training,Academic Key Dates,Y11,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
2c760708,2026-10-15,2026-10-15,Term 1 2026/27,Michaelmas Term,M8B,B,Thursday,Final change of IGCSE and A Level subjects for Yr 10 & 12,Academic Key Date,Academic Key Dates,Y10;Y11;Y12,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
124fb495,2026-10-19,2026-10-23,Term 1 2026/27,Michaelmas Term,,,Monday,Michaelmas Half Term,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Summary half-term
4b8503b2,2026-10-19,2026-10-23,Term 1 2026/27,Michaelmas Term,,,,Michaelmas Half-term,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
793639ce,2026-10-26,2026-10-26,Term 1 2026/27,Michaelmas Term,M9A,A,Monday,Shorter Year 11 Mock week (start),Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
8740c276,2026-10-27,2026-10-29,Term 1 2026/27,Michaelmas Term,M9A,A,,Shorter Year 11 Mock week,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 3 consecutive daily entries.
f778d234,2026-10-29,2026-10-29,Term 1 2026/27,Michaelmas Term,M9A,A,Thursday,Exeter 3,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
47e95f3b,2026-10-30,2026-10-30,Term 1 2026/27,Michaelmas Term,M9A,A,Friday,Shorter Year 11 Mock week (end),Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
375e6854,2026-11-02,2026-11-02,Term 1 2026/27,Michaelmas Term,M10B,B,Monday,Year 13 Predicted Grade entry TBC,Academic Key Date,Academic Key Dates,Y13,normal,TRUE,WCIB Academic Calendar 2026_27 Final(1).docx,
9d31e2bc,2026-11-03,2026-11-03,Term 1 2026/27,Michaelmas Term,M10B,B,Tuesday,PD Session,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b614e13d,2026-11-04,2026-11-04,Term 1 2026/27,Michaelmas Term,M10B,B,Wednesday,Year 9 Options workshop for parents and students (3pm),Staff training,Academic Key Dates,Y9,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
8883f7ef,2026-11-04,2026-11-04,Term 1 2026/27,Michaelmas Term,M10B,B,Wednesday,Yr 12 Interim report 1 opens at 9am,Reporting,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
91190c7d,2026-11-05,2026-11-05,Term 1 2026/27,Michaelmas Term,M10B,B,Thursday,Yr 7-11 & 13 Interim report 1 opens at 9am,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c62b876c,2026-11-07,2026-11-07,Term 1 2026/27,Michaelmas Term,,,Saturday,EdFest,School event,Academic Key Dates,HoD/HoF; Staff,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Additional key date
21cf7cba,2026-11-09,2026-11-09,Term 1 2026/27,Michaelmas Term,M11A,A,Monday,Year 11 Mock results report open,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
30ce7053,2026-11-10,2026-11-10,Term 1 2026/27,Michaelmas Term,M11A,A,Tuesday,New staff lunch time workshop,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c6b183ca,2026-11-11,2026-11-11,Term 1 2026/27,Michaelmas Term,M11A,A,Wednesday,Completion date for Year 11 Mock papers marking and standardised within the department/faculty,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
cb575842,2026-11-12,2026-11-12,Term 1 2026/27,Michaelmas Term,M11A,A,Thursday,Yr 12 Interim report 1 closes at noon for class teachers,Reporting,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
d80b5abf,2026-11-13,2026-11-13,Term 1 2026/27,Michaelmas Term,M11A,A,Friday,Year 11 Mock results report completed by noon,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
52126bb1,2026-11-16,2026-11-16,Term 1 2026/27,Michaelmas Term,M12B,B,Monday,Production week,School event,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
746f86ef,2026-11-17,2026-11-17,Term 1 2026/27,Michaelmas Term,M12B,B,Tuesday,HoD/HoF checking of the Yr 12 interim report 1 by noon,Reporting,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
5f5b00ff,2026-11-17,2026-11-17,Term 1 2026/27,Michaelmas Term,M12B,B,Tuesday,Yr 7-11 & 13 Interim report 1 closes at noon for class teachers,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
14227ec2,2026-11-18,2026-11-18,Term 1 2026/27,Michaelmas Term,M12B,B,Wednesday,"Yr 7 – 11, 12 & 13 IR1 student reflection completion",Admin deadline,Academic Key Dates,Y7;Y8;Y9;Y10;Y11;Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
f6e8dab3,2026-11-19,2026-11-19,Term 1 2026/27,Michaelmas Term,M12B,B,Thursday,Exeter 4,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
5857afc8,2026-11-20,2026-11-20,Term 1 2026/27,Michaelmas Term,M12B,B,Friday,HoD/HoF checking of the Yr 7 - 11 & 13 interim report 1 by noon,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
efa8d108,2026-11-23,2026-11-23,Term 1 2026/27,Michaelmas Term,M13A,A,Monday,Yr12 HoC & Prefects application deadline,Admin deadline,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
a2081290,2026-11-24,2026-11-24,Term 1 2026/27,Michaelmas Term,M13A,A,Tuesday,SLT/HoY checking completion of Yr 12 IR1,Admin deadline,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
d9ce90de,2026-11-25,2026-11-25,Term 1 2026/27,Michaelmas Term,M13A,A,Wednesday,Yr 12 Interim report 1 publish to parents,Reporting,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
ec0fb0ab,2026-11-26,2026-11-26,Term 1 2026/27,Michaelmas Term,M13A,A,Thursday,Year 12 PTC,Parent Teacher Conference,Academic Key Dates,Y12,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
dae3f0af,2026-12-01,2026-12-01,Term 1 2026/27,Michaelmas Term,M14B,B,Tuesday,2pm – 4 pm,Academic Key Date,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b7b393f0,2026-12-01,2026-12-01,Term 1 2026/27,Michaelmas Term,M14B,B,Tuesday,IGCSE & A Level Options Fair,Options / transition,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
524a7282,2026-12-02,2026-12-02,Term 1 2026/27,Michaelmas Term,M14B,B,Wednesday,SLT/HoY checking completion of Yr 7-11 & 13 IR1,Admin deadline,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
24d622dc,2026-12-03,2026-12-03,Term 1 2026/27,Michaelmas Term,M14B,B,Thursday,Yr 7 - 11 & 13 Interim report 1 publish to parents,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
ff4666ab,2026-12-07,2026-12-07,Term 1 2026/27,Michaelmas Term,M15A,A,Monday,School closed,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
955dcc3e,2026-12-09,2026-12-09,Term 1 2026/27,Michaelmas Term,M15A,A,Wednesday,Year 11 PTC,Parent Teacher Conference,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b61cdfcb,2026-12-10,2026-12-10,Term 1 2026/27,Michaelmas Term,M15A,A,Thursday,School closed,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
0c6906c6,2026-12-11,2026-12-11,Term 1 2026/27,Michaelmas Term,M15A,A,Friday,IGCSE & A Level Options choices open,Options / transition,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
e43e9328,2026-12-16,2026-12-16,Term 1 2026/27,Michaelmas Term,M16B,B,Wednesday,End of Term finishes at 12,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
42b58c51,2027-01-06,2027-01-06,Term 2 2026/27,Lent Term,L1A,A,Wednesday,INSET,INSET,Academic Key Dates,All staff / school,normal,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
77550bff,2027-01-07,2027-01-07,Term 2 2026/27,Lent Term,L1A,A,Thursday,Term start,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
6a3f3d11,2027-01-07,2027-04-02,Term 2 2026/27,Lent Term,,,Thursday,Lent Term,Term / orientation,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Summary term date
077aa02b,2027-01-11,2027-01-11,Term 2 2026/27,Lent Term,L2B,B,Monday,Year 12&13 Mock week (start),Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
d1f34332,2027-01-12,2027-01-14,Term 2 2026/27,Lent Term,L2B,B,,Year 12&13 Mock week,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 3 consecutive daily entries.
42456b60,2027-01-15,2027-01-15,Term 2 2026/27,Lent Term,L2B,B,Friday,Year 12&13 Mock week (end),Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
4b9e2737,2027-01-18,2027-01-18,Term 2 2026/27,Lent Term,L3A,A,Monday,Year 12&13 Mock results report open,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
51c07666,2027-01-18,2027-01-18,Term 2 2026/27,Lent Term,L3A,A,Monday,Yr 12&13 Interim report 2 opens at 9am,Reporting,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
cf1fd1fd,2027-01-18,2027-01-18,Term 2 2026/27,Lent Term,L3A,A,Monday,Yr 7-11 Interim report 2 opens,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
8dec38c2,2027-01-19,2027-01-19,Term 2 2026/27,Lent Term,L3A,A,Tuesday,New staff lunch time workshop,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
c4b5ff3e,2027-01-21,2027-01-21,Term 2 2026/27,Lent Term,L3A,A,Thursday,Year 9 PTC,Parent Teacher Conference,Academic Key Dates,Y9,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
be52a734,2027-01-25,2027-01-25,Term 2 2026/27,Lent Term,L4B,B,Monday,Wellington College UK Annual Review week (TBC),Academic Key Date,Academic Key Dates,All staff / school,normal,TRUE,WCIB Academic Calendar 2026_27 Final(1).docx,
865c2656,2027-01-26,2027-01-26,Term 2 2026/27,Lent Term,L4B,B,Tuesday,Completion date for Year 12&13 Mock papers marking and standardised within the department/faculty,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
3d1c3dc4,2027-01-27,2027-01-27,Term 2 2026/27,Lent Term,L4B,B,Wednesday,Students reflection completion for Yr 7 - 13,Admin deadline,Academic Key Dates,Y7;Y8;Y9;Y10;Y11;Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b00670b5,2027-01-27,2027-01-27,Term 2 2026/27,Lent Term,L4B,B,Wednesday,Year 12&13 Mock results report completed by noon,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
88bcaacb,2027-01-27,2027-01-27,Term 2 2026/27,Lent Term,L4B,B,Wednesday,Yr 12&13 Interim report 2 closes at noon for class teachers,Reporting,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
e23f6318,2027-01-28,2027-01-28,Term 2 2026/27,Lent Term,L4B,B,Thursday,Exeter 5,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
093f9945,2027-01-28,2027-01-28,Term 2 2026/27,Lent Term,L4B,B,Thursday,Yr 7-11 Interim report 2 closes at noon for class teachers,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
8ff98405,2027-01-29,2027-01-29,Term 2 2026/27,Lent Term,L4B,B,Friday,HoD/HoF checking of the Yr 12 & 13 report 2 & mock results by noon,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
d5a04d9d,2027-01-29,2027-01-29,Term 2 2026/27,Lent Term,L4B,B,Friday,IGCSE & A Level Options choice submission deadline,Options / transition,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
27f7ee75,2027-01-29,2027-01-29,Term 2 2026/27,Lent Term,L4B,B,Friday,Yr 12&13 Interim report 2 completion with tutor comments,Reporting,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
47f4ceb4,2027-02-01,2027-02-01,Term 2 2026/27,Lent Term,L5A,A,Monday,SLT/HoY checking Yr 12&13 Mock results by noon,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
edb81e4c,2027-02-01,2027-02-01,Term 2 2026/27,Lent Term,L5A,A,Monday,Yr 7-11 Interim report 2 completion with tutor comments,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
910cbcb2,2027-02-02,2027-02-02,Term 2 2026/27,Lent Term,L5A,A,Tuesday,HoD/HoF checking of the Yr 7-11 Interim report 2 by noon,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
efc37dd4,2027-02-02,2027-02-02,Term 2 2026/27,Lent Term,L5A,A,Tuesday,PD Session,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
fdd43c50,2027-02-02,2027-02-02,Term 2 2026/27,Lent Term,L5A,A,Tuesday,Year 12&13 Mock results publish to parents,Mock exams,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
005a58cc,2027-02-03,2027-02-03,Term 2 2026/27,Lent Term,L5A,A,Wednesday,Power BI data analysis completion,Data / analytics,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
b831e299,2027-02-05,2027-02-05,Term 2 2026/27,Lent Term,L5A,A,Friday,SLT/HoY checking completion of Yr 12 & 13 Interim Report 2 by noon,Reporting,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
2e8d09b1,2027-02-08,2027-02-08,Term 2 2026/27,Lent Term,L6B,B,Monday,Yr 12 & 13 Interim report 2 publish to parents,Reporting,Academic Key Dates,Y12;Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
85722123,2027-02-09,2027-02-09,Term 2 2026/27,Lent Term,L6B,B,Tuesday,SLT/HoY checking completion of Yr 7-11 Interim report 2 by noon,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
f9c0937c,2027-02-10,2027-02-10,Term 2 2026/27,Lent Term,L6B,B,Wednesday,Year 13 PTC,Parent Teacher Conference,Academic Key Dates,Y13,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
643fe075,2027-02-10,2027-02-10,Term 2 2026/27,Lent Term,L6B,B,Wednesday,Yr 7-11 Interim report 2 publish to parents,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10;Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
9ba53b0f,2027-02-15,2027-02-19,Term 2 2026/27,Lent Term,,,Monday,Lent Half Term,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Summary half-term
54da7cf0,2027-02-15,2027-02-19,Term 2 2026/27,Lent Term,,,,Lent Half-Term,School holiday,Academic Key Dates,All staff / school,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
78041853,2027-02-22,2027-02-22,Term 2 2026/27,Lent Term,L7A,A,Monday,Year 11 Mock week (start),Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
05f6459a,2027-02-22,2027-02-26,Term 2 2026/27,Lent Term,L7A,A,,Adventure week (Yr 7-9),Trips / enrichment,Academic Key Dates,Y7;Y8;Y9,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
b9667dd8,2027-02-22,2027-02-26,Term 2 2026/27,Lent Term,L7A,A,,DoE (Yr 10),Trips / enrichment,Academic Key Dates,Y10,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
9f6265dd,2027-02-22,2027-02-26,Term 2 2026/27,Lent Term,L7A,A,,Sixth form bespoke week,Trips / enrichment,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 5 consecutive daily entries.
66f547a9,2027-02-23,2027-02-26,Term 2 2026/27,Lent Term,L7A,A,,Year 11 Mock week,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,Aggregated from 4 consecutive daily entries.
c12d345c,2027-02-25,2027-02-25,Term 2 2026/27,Lent Term,L7A,A,Thursday,Exeter 6,Exeter,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
096cc6b4,2027-03-01,2027-03-01,Term 2 2026/27,Lent Term,L8B,B,Monday,Year 11 Mock week,Mock exams,Academic Key Dates,Y11,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
697196ac,2027-03-01,2027-03-01,Term 2 2026/27,Lent Term,L8B,B,Monday,Yr 7- 10 Interim report 3 open,Reporting,Academic Key Dates,Y7;Y8;Y9;Y10,high,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
ff3ce015,2027-03-02,2027-03-02,Term 2 2026/27,Lent Term,L8B,B,Tuesday,New staff lunch time workshop,Staff training,Academic Key Dates,All staff / school,medium,FALSE,WCIB Academic Calendar 2026_27 Final(1).docx,
