id,week,dates,term,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
y10_011,M4B,14–18 Sep 2026,Michaelmas,B,1B,"Unit 1B — Percentages, Bounds and Applied Number",1B.3,1B.3 Compound interest and depreciation,core,Repeated percentage change in financial contexts.,
y10_012,M5A,21–25 Sep 2026,Michaelmas,A,1B,"Unit 1B — Percentages, Bounds and Applied Number",1B.4,1B.4 Reverse percentages,core,Finding original values after percentage change.,Yr 7–13 Interim Report 0 opens internally.
y10_013,M5A,21–25 Sep 2026,Michaelmas,A,1B,"Unit 1B — Percentages, Bounds and Applied Number",1B.5,1B.5 Bounds and error intervals,core,"Upper and lower bounds, error intervals and accuracy.",
y10_014,M5A,21–25 Sep 2026,Michaelmas,A,1B,"Unit 1B — Percentages, Bounds and Applied Number",,Unit 1B revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 1B.",
y10_015,M6B,28 Sep–2 Oct 2026,Michaelmas,B,1B,"Unit 1B — Percentages, Bounds and Applied Number",★,Unit 1B full end-of-unit assessment,assessment,"Percentages, bounds and applied number assessment.",Departmental SEF & DIP completion due. Exeter 2.
y10_016,M6B,28 Sep–2 Oct 2026,Michaelmas,B,1B,"Unit 1B — Percentages, Bounds and Applied Number",,"Unit 1B reflection, correction and reteach",flex,Correct misconceptions from Unit 1B assessment; use final time for retrieval or next-unit bridge.,
y10_017,M6B,28 Sep–2 Oct 2026,Michaelmas,B,2,"Unit 2 — Ratio, Proportion and Measures",2.1,2.1 Sharing in a ratio,core,Divide quantities in two-part and three-part ratios.,
y10_018,M7A,5–9 Oct 2026,Michaelmas,A,2,"Unit 2 — Ratio, Proportion and Measures",2.2,2.2 Direct proportion,core,"Direct proportion, tables and worded problems.",Yr 7–13 Interim Report 0 closes; Year 10 PTC.
y10_019,M7A,5–9 Oct 2026,Michaelmas,A,2,"Unit 2 — Ratio, Proportion and Measures",2.3,2.3 Inverse proportion and algebraic proportion,core,Direct/inverse proportion with algebraic links.,
y10_020,M7A,5–9 Oct 2026,Michaelmas,A,2,"Unit 2 — Ratio, Proportion and Measures",2.4,2.4 Compound measures,core,"Speed, density and pressure problems.",
y10_021,M8B,12–16 Oct 2026,Michaelmas,B,2,"Unit 2 — Ratio, Proportion and Measures",,Unit 2 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 2.",Final week before Michaelmas half-term. No new unit starts.
y10_022,M8B,12–16 Oct 2026,Michaelmas,B,2,"Unit 2 — Ratio, Proportion and Measures",★,Unit 2 full end-of-unit assessment,assessment,"Ratio, proportion and measures assessment.",
y10_023,M8B,12–16 Oct 2026,Michaelmas,B,2,"Unit 2 — Ratio, Proportion and Measures",,"Unit 2 reflection, correction and reteach",flex,Correct misconceptions from Unit 2 assessment; use final time for retrieval or next-unit bridge.,
y10_024,M9A,26–30 Oct 2026,Michaelmas,A,0,Consolidation,,Mixed number and ratio consolidation,flex,"Targeted consolidation from Units 1A, 1B and 2.",Shorter Year 11 mock week. Exeter 3.
y10_025,M9A,26–30 Oct 2026,Michaelmas,A,0,Consolidation,,Problem-solving and retrieval,flex,Mixed problem-solving and retrieval practice.,
y10_026,M9A,26–30 Oct 2026,Michaelmas,A,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.1,3A.1 Basic algebra 1 — notation and indices,core,Index notation and algebraic conventions.,
y10_027,M10B,2–6 Nov 2026,Michaelmas,B,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.2,3A.2 Basic algebra 2 — collecting and expanding,core,Collect like terms and expand a single bracket.,Yr 7–11 & 13 IR1 opens.
y10_028,M10B,2–6 Nov 2026,Michaelmas,B,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.3,3A.3 Factorising and algebraic manipulation,core,Common factors and algebraic manipulation.,
y10_029,M10B,2–6 Nov 2026,Michaelmas,B,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.4,3A.4 Linear equations,core,Solve linear equations with brackets and fractions.,
y10_030,M11A,9–13 Nov 2026,Michaelmas,A,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.5,3A.5 Inequalities and number lines,core,Solve inequalities and represent on a number line.,Year 11 mock report marking window.
y10_031,M11A,9–13 Nov 2026,Michaelmas,A,3A,"Unit 3A — Algebra, Equations and Inequalities",3A.6,3A.6 Simultaneous equations by elimination,core,Exact solution of two simultaneous linear equations.,
y10_032,M11A,9–13 Nov 2026,Michaelmas,A,3A,"Unit 3A — Algebra, Equations and Inequalities",★,Unit 3A checkpoint quiz + feedback/bridge,assessment,Short checkpoint on Unit 3A content; remaining lesson for immediate feedback and bridge into next content.,
y10_033,M12B,16–20 Nov 2026,Michaelmas,B,3B,Unit 3B — Linear Graphs and Simultaneous Equations,3B.1,3B.1 Coordinates and midpoints,core,"Coordinates, quadrants and midpoint.",Yr 7–11 & 13 IR1 closes for class teachers. Exeter 4.
y10_034,M12B,16–20 Nov 2026,Michaelmas,B,3B,Unit 3B — Linear Graphs and Simultaneous Equations,3B.2,3B.2 Gradient and intercept,core,"Gradient, y-intercept and straight-line form.",
y10_035,M12B,16–20 Nov 2026,Michaelmas,B,3B,Unit 3B — Linear Graphs and Simultaneous Equations,3B.3,3B.3 Drawing straight-line graphs,core,Plot and interpret straight-line graphs.,
y10_036,M13A,23–27 Nov 2026,Michaelmas,A,3B,Unit 3B — Linear Graphs and Simultaneous Equations,3B.4,3B.4 Equations of parallel and perpendicular lines,core,Find equations of lines using gradient relationships.,Year 12 PTC.
y10_037,M13A,23–27 Nov 2026,Michaelmas,A,3B,Unit 3B — Linear Graphs and Simultaneous Equations,3B.5,3B.5 Real-life linear graphs,core,"Conversion, distance-time and speed-time graphs.",
y10_038,M13A,23–27 Nov 2026,Michaelmas,A,3B,Unit 3B — Linear Graphs and Simultaneous Equations,,Unit 3B revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 3B.",
y10_039,M14B,30 Nov–4 Dec 2026,Michaelmas,B,3B,Unit 3B — Linear Graphs and Simultaneous Equations,★,Unit 3B full end-of-unit assessment,assessment,Linear graphs and simultaneous equations assessment.,Yr 7–11 & 13 IR1 published Thu 3 Dec.
y10_040,M14B,30 Nov–4 Dec 2026,Michaelmas,B,3B,Unit 3B — Linear Graphs and Simultaneous Equations,,"Unit 3B reflection, correction and reteach",flex,Correct misconceptions from Unit 3B assessment; use final time for retrieval or next-unit bridge.,
y10_041,M14B,30 Nov–4 Dec 2026,Michaelmas,B,4,Unit 4 — Sequences,4.1,4.1 Arithmetic sequences and nth term,core,Find and use nth terms of arithmetic sequences.,
y10_042,M15A,7–11 Dec 2026,Michaelmas,A,4,Unit 4 — Sequences,,Sequences consolidation and low-stakes checkpoint,flex,Consolidate arithmetic sequences and nth term. Use a short checkpoint rather than a full unit test because this week has two school-closure days.,School closed Mon 7 Dec and Thu 10 Dec. Avoid full unit tests. Year 11 PTC Wed 9 Dec.
y10_043,M15A,7–11 Dec 2026,Michaelmas,A,4,Unit 4 — Sequences,,Sequences correction and retrieval,flex,Correct checkpoint errors and revisit algebraic sequence notation.,
y10_044,M15A,7–11 Dec 2026,Michaelmas,A,0,End-of-term consolidation,,Mixed algebra and graph retrieval,flex,"Retrieval from Units 3A, 3B and 4. No new content.",
y10_045,M16B,14–16 Dec 2026,Michaelmas,B,0,End-of-term Consolidation,,End-of-term consolidation: algebra skills,flex,"Consolidate algebraic manipulation, factorising basics and graph retrieval. No new examinable content.",Final week of Michaelmas. School closes Wed 16 Dec at 12pm. No new unit starts.
y10_046,M16B,14–16 Dec 2026,Michaelmas,B,0,End-of-term Consolidation,,End-of-term consolidation: problem solving,flex,"Mixed non-routine questions from number, ratio, algebra and graphs. No new unit starts.",Final week of Michaelmas. School closes Wed 16 Dec at 12pm. No new unit starts.
y10_047,M16B,14–16 Dec 2026,Michaelmas,B,0,End-of-term Consolidation,,End-of-term flex / correction / admin,flex,"Flexible lesson for correction, book checks, retrieval or enrichment. No new examinable content.",Final week of Michaelmas. School closes Wed 16 Dec at 12pm. No new unit starts.
y10_048,L1A,7–8 Jan 2027,Lent,A,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.1,5A.1 Factorising quadratics (1/2),core,Factorise monic quadratics and connect factors to roots.,Term starts Thu 7 Jan after INSET Wed 6 Jan. Partial teaching week.
y10_049,L1A,7–8 Jan 2027,Lent,A,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.2,5A.2 Factorising quadratics (2/2),core,Extend factorising to non-monic quadratics and common exam forms.,
y10_050,L2B,11–15 Jan 2027,Lent,B,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.3,5A.3 Solving quadratics by factorisation,core,Solve quadratic equations by factorising and interpreting roots.,Year 12 & 13 mock week. Year 10 continues normally.
y10_051,L2B,11–15 Jan 2027,Lent,B,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.4,5A.4 Quadratic formula,core,Use the quadratic formula and identify when it is needed.,
y10_052,L2B,11–15 Jan 2027,Lent,B,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.5,5A.5 Completing the square,core,Complete the square and link to turning points.,
y10_053,L3A,18–22 Jan 2027,Lent,A,5A,"Unit 5A — Expanding, Factorising and Quadratics",5A.6,5A.6 Quadratic graphs and roots,core,"Sketch quadratic graphs and connect roots, factors and intercepts.",Yr 7–11 IR2 opens. Year 9 PTC.
y10_054,L3A,18–22 Jan 2027,Lent,A,5A,"Unit 5A — Expanding, Factorising and Quadratics",★,Unit 5A checkpoint quiz + feedback/bridge,assessment,20–25 min checkpoint on Unit 5A; remaining time for feedback and bridge into formulae.,
y10_055,L3A,18–22 Jan 2027,Lent,A,5B,Unit 5B — Formulae and Rearranging,5B.1,"5B.1 Formulae, substitution and changing the subject once",core,Substitute into formulae and rearrange where the subject appears once.,
y10_056,L4B,25–29 Jan 2027,Lent,B,5B,Unit 5B — Formulae and Rearranging,5B.2,5B.2 Changing the subject with subject twice or powers,core,"Rearrange harder formulae, including subject appearing twice or as a power.",Yr 7–11 IR2 closes. Exeter 5.
y10_057,L4B,25–29 Jan 2027,Lent,B,5B,Unit 5B — Formulae and Rearranging,,Unit 5B revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for formulae and rearranging.",
y10_058,L4B,25–29 Jan 2027,Lent,B,5B,Unit 5B — Formulae and Rearranging,★,Unit 5B full end-of-unit assessment,assessment,Formulae and rearranging assessment.,
y10_059,L5A,1–5 Feb 2027,Lent,A,5B,Unit 5B — Formulae and Rearranging,,"Unit 5B reflection, correction and reteach",flex,Correct misconceptions from Unit 5B; bridge into algebraic fractions.,HoD/HoF checking of Yr 7–11 IR2.
y10_060,L5A,1–5 Feb 2027,Lent,A,6,Unit 6 — Algebraic Fractions,6.1,6.1 Simplify algebraic fractions — simple cases (1/2),core,Simplify algebraic fractions by factorising numerator and/or denominator. Book 1 Algebra 2 p.113; Book 1 Algebra 3 p.185; Book 2 Algebra 10 p.362. Spec H2.2F.,
y10_061,L5A,1–5 Feb 2027,Lent,A,6,Unit 6 — Algebraic Fractions,6.1,6.1 Simplify algebraic fractions — harder cases (2/2),core,"Simplify harder algebraic fractions, including factorising numerator and denominator. Spec H2.2F.",
y10_062,L6B,8–12 Feb 2027,Lent,B,6,Unit 6 — Algebraic Fractions,,Pre-half-term consolidation: simplifying algebraic fractions,flex,Consolidate Unit 6.1 only. No new content or new unit starts.,Final week before Lent half-term. No new content or new unit starts.
y10_063,L6B,8–12 Feb 2027,Lent,B,6,Unit 6 — Algebraic Fractions,,Mixed algebraic fractions practice and correction,flex,Practise simplifying algebraic fractions and correct common errors. No new content.,Final week before Lent half-term. No new content or new unit starts.
y10_064,L6B,8–12 Feb 2027,Lent,B,6,Unit 6 — Algebraic Fractions,,Half-term review task setup: algebraic fractions,flex,Set targeted review tasks for algebraic fractions. No new content.,Final week before Lent half-term. No new content or new unit starts.
y10_065,L7A,22–26 Feb 2027,Lent,A,6,Unit 6 — Algebraic Fractions,6.2,6.2 Add and subtract algebraic fractions (1/2),core,Find common denominators and add/subtract algebraic fractions with unlike denominators. Book 2 Algebra 10 p.362. Spec H2.2F.,Year 11 mock week; Adventure Week for Year 7–9 only — Year 10 continues normally.
y10_066,L7A,22–26 Feb 2027,Lent,A,6,Unit 6 — Algebraic Fractions,6.2,6.2 Add and subtract algebraic fractions (2/2),core,Apply addition and subtraction of algebraic fractions in harder examples. Spec H2.2F.,
y10_067,L7A,22–26 Feb 2027,Lent,A,6,Unit 6 — Algebraic Fractions,6.3,"6.3 Multiply, divide and solve equations with algebraic fractions (1/2)",core,Multiply and divide algebraic fractions. Begin equations with algebraic fractions. Book 2 Algebra 10 p.362. Spec H2.2F.,
y10_068,L8B,1–5 Mar 2027,Lent,B,6,Unit 6 — Algebraic Fractions,6.3,"6.3 Multiply, divide and solve equations with algebraic fractions (2/2)",core,Solve equations with algebraic fractions and check excluded values. Spec H2.2F.,Yr 7–10 & 12 IR3 opens.
y10_069,L8B,1–5 Mar 2027,Lent,B,6,Unit 6 — Algebraic Fractions,,Unit 6 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for algebraic fractions.",
y10_070,L8B,1–5 Mar 2027,Lent,B,6,Unit 6 — Algebraic Fractions,★,Unit 6 mini-test,assessment,"End of Unit 6 mini-test: simplifying, adding/subtracting, multiplying/dividing and solving equations with algebraic fractions.",
y10_071,L9A,8–12 Mar 2027,Lent,A,6,Unit 6 — Algebraic Fractions,,Unit 6 correction and bridge into geometry,flex,Correct Unit 6 misconceptions; retrieval starter can be used in later lessons.,Yr 7–10 & 12 IR3 closes. Student reflection.
y10_072,L9A,8–12 Mar 2027,Lent,A,7A,"Unit 7A — Angles, Polygons and Bearings",7A.1,7A.1 Polygons and quadrilaterals,core,Angle properties of polygons and quadrilaterals.,
y10_073,L9A,8–12 Mar 2027,Lent,A,7A,"Unit 7A — Angles, Polygons and Bearings",7A.2,7A.2 Bearings and scale diagrams,core,"Bearings, scale diagrams and geometric interpretation.",
y10_074,L10B,15–19 Mar 2027,Lent,B,7A,"Unit 7A — Angles, Polygons and Bearings",7A.3,7A.3 Circle properties and geometrical reasoning,core,"Circle vocabulary, chord/tangent facts and angle reasoning.",Power BI data analysis completion. Exeter 7.
y10_075,L10B,15–19 Mar 2027,Lent,B,7A,"Unit 7A — Angles, Polygons and Bearings",★,Unit 7A checkpoint quiz + feedback/bridge,assessment,20–25 min checkpoint on Unit 7A; remaining time for feedback.,
y10_076,L10B,15–19 Mar 2027,Lent,B,7B,"Unit 7B — Constructions, Loci and Scale Drawings",7B.1,"7B.1 Constructions with ruler, protractor and compasses",core,Construct triangles and accurate diagrams.,
y10_077,L11A,22–26 Mar 2027,Lent,A,7B,"Unit 7B — Constructions, Loci and Scale Drawings",7B.2,7B.2 Perpendicular and angle bisectors,core,Construct perpendicular bisectors and angle bisectors.,Year 8 PTC.
y10_078,L11A,22–26 Mar 2027,Lent,A,7B,"Unit 7B — Constructions, Loci and Scale Drawings",7B.3,7B.3 Loci and scale drawings,core,Use loci and scale drawings to solve problems.,
y10_079,L11A,22–26 Mar 2027,Lent,A,7B,"Unit 7B — Constructions, Loci and Scale Drawings",,Unit 7B revision lesson before assessment,flex,"Mixed review and practice for constructions, loci and scale drawings.",
y10_080,L12B,29 Mar–2 Apr 2027,Lent,B,7B,"Unit 7B — Constructions, Loci and Scale Drawings",★,Unit 7B full end-of-unit assessment,assessment,"Constructions, loci and scale drawing assessment. Reflection handled through starters after Easter to save time.",Final week before Easter/end Lent. No new unit starts.
y10_081,L12B,29 Mar–2 Apr 2027,Lent,B,0,Pre-Exam Consolidation,,"Mixed geometry, algebra and ratio retrieval",flex,"Retrieval across algebraic fractions, geometry, mensuration and ratio.",
y10_082,L12B,29 Mar–2 Apr 2027,Lent,B,0,Pre-Exam Consolidation,,Easter review task setup,flex,Set targeted revision tasks and close gaps. No new unit starts.,
y10_083,S1A,19–23 Apr 2027,Summer,A,0,Pre-Exam Consolidation,,Exam readiness 1 — number and algebra priorities,flex,Targeted pre-exam consolidation based on class evidence.,Summer term starts Mon 19 Apr.
y10_084,S1A,19–23 Apr 2027,Summer,A,0,Pre-Exam Consolidation,,Exam readiness 2 — geometry priorities,flex,Targeted pre-exam consolidation based on class evidence.,
y10_085,S1A,19–23 Apr 2027,Summer,A,0,Pre-Exam Consolidation,,Exam readiness 3 — mixed exam-style problem solving,flex,Mixed problem-solving and written-method accuracy.,
y10_086,S2B,26–30 Apr 2027,Summer,B,0,Revision,,"Revision 1 — number, ratio and algebra",flex,Targeted revision based on assessment evidence.,Exeter 8.
y10_087,S2B,26–30 Apr 2027,Summer,B,0,Revision,,"Revision 2 — graphs, quadratics and geometry",flex,Targeted revision based on assessment evidence.,
y10_088,S2B,26–30 Apr 2027,Summer,B,0,Revision,,Revision 3 — exam technique and correction priorities,flex,"Exam technique, common errors and teacher-selected priorities.",
y10_089,S5A,17–21 May 2027,Summer,A,8A,Unit 8A — Pythagoras and Right-Angled Trigonometry,8A.1,8A.1 Right-angled trigonometry — finding sides and angles,core,"Use sine, cosine and tangent to find missing sides and angles.",Exeter 9.
y10_090,S5A,17–21 May 2027,Summer,A,8A,Unit 8A — Pythagoras and Right-Angled Trigonometry,8A.2,8A.2 Applications with bearings and elevation/depression,core,Apply right-angled trigonometry in contexts.,
y10_091,S5A,17–21 May 2027,Summer,A,8B,Unit 8B — Mensuration and Mixed Geometry,8B.1,8B.1 Sectors and arc length,core,Perimeters and areas of sectors.,
y10_092,S6B,24–28 May 2027,Summer,B,8B,Unit 8B — Mensuration and Mixed Geometry,8B.2,8B.2 Volume and surface area of prisms and cylinders,core,Surface area and volume of prisms and cylinders.,Y10/Y12 Full Report 4 closes and checking window.
y10_093,S6B,24–28 May 2027,Summer,B,8B,Unit 8B — Mensuration and Mixed Geometry,,Unit 8B revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 8B.",
y10_094,S6B,24–28 May 2027,Summer,B,8B,Unit 8B — Mensuration and Mixed Geometry,★,Unit 8B full end-of-unit assessment,assessment,Mensuration and mixed geometry assessment. Reflection handled through starters to save time.,
y10_095,S7A,31 May–4 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,9.1,"9.1 3D shapes, prisms and cylinders",core,"Recognise 3D solids, volume and surface area review.",Yr 7–9 summer exams. School closed Thu 3 Jun and Fri 4 Jun. No full unit test this week.
y10_096,S7A,31 May–4 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,9.2,9.2 Spheres and cones,core,Surface area and volume of spheres and cones.,
y10_097,S7A,31 May–4 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,,Public-holiday week consolidation: 3D shape basics,flex,Consolidate 3D geometry basics. Avoid full assessment in this short week.,
y10_098,S8B,7–11 Jun 2027,Summer,B,9,Unit 9 — 3D Geometry and Similarity,9.3,9.3 Similarity in length,core,Understand and use similar figures.,Y10/Y12 Full Report 4 published Wed 9 Jun. Exeter 10.
y10_099,S8B,7–11 Jun 2027,Summer,B,9,Unit 9 — 3D Geometry and Similarity,9.4,9.4 Area and volume scale factors,core,Use area and volume ratios in similar shapes.,
y10_100,S8B,7–11 Jun 2027,Summer,B,9,Unit 9 — 3D Geometry and Similarity,9.5,9.5 Pythagoras in 3D,core,Use Pythagoras' theorem in three dimensions.,
y10_101,S9A,14–18 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,9.6,9.6 3D trigonometry,core,Use trigonometry in three dimensions.,Year 7–9 Full Report 4 closes. PD session.
y10_102,S9A,14–18 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,,Unit 9 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 9.",
y10_103,S9A,14–18 Jun 2027,Summer,A,9,Unit 9 — 3D Geometry and Similarity,★,Unit 9 full end-of-unit assessment,assessment,3D geometry and similarity assessment.,
y10_104,S10B,21–25 Jun 2027,Summer,B,9,Unit 9 — 3D Geometry and Similarity,,Unit 9 correction and Year 11 readiness,flex,Correct misconceptions from Unit 9 assessment; bridge to Year 11 priorities.,Final regular teaching week before off-timetable final week. No new unit starts.
y10_105,S10B,21–25 Jun 2027,Summer,B,0,Year 11 Readiness / Statistics Bridge,,"Core statistics bridge: charts, averages and data review",flex,Optional bridge to Unit 10A/Core Statistics. Unit 10A is not assessed here and should be continued in Year 11 if required.,
y10_106,S10B,21–25 Jun 2027,Summer,B,0,End-of-Year Buffer,,Administration / enrichment / transition,flex,"Flexible lesson for Year 11 readiness, enrichment, book return or transition.",
