id,week,dates,term,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
y11_047,L2B,11–15 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Spheres and cones — surface area and volume,core,Apply formulae for surface area and volume of spheres and cones.,
y11_048,L2B,11–15 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Sine rule,core,Apply the sine rule to find sides and angles in non-right-angled triangles.,
y11_049,L2B,11–15 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Cosine rule,core,Apply the cosine rule to find sides and angles in non-right-angled triangles.,
y11_050,L3A,18–22 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Area of a triangle and harder trig problems,core,Use ½ab sin C; solve multi-step trigonometry problems.,IR2 opens.
y11_051,L3A,18–22 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,3D Pythagoras,core,Apply Pythagoras' theorem in three dimensions.,
y11_052,L3A,18–22 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,3D trigonometry,core,Apply trigonometry in three-dimensional problems.,
y11_053,L4B,25–29 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Circle theorems 1,core,"Apply angle in semicircle, angles in same segment and angles at centre.",IR2 closes.
y11_054,L4B,25–29 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,Circle theorems 2 and alternate segment theorem,core,"Apply cyclic quadrilateral, tangent-radius, and alternate segment theorem.",
y11_055,L4B,25–29 Jan 2027,Lent,,7,Unit 6 — Advanced Geometry,,"Vectors 1 — notation, addition and scalar multiplication",core,"Use column vector notation; add, subtract and scale vectors.",
y11_056,L5A,1–5 Feb 2027,Lent,,7,Unit 6 — Advanced Geometry,,Vectors 2 — magnitude and vector geometry,core,Calculate magnitude; use vector geometry to prove geometric results.,HoD/HoF checking of IR2.
y11_057,L5A,1–5 Feb 2027,Lent,,7,Unit 6 — Advanced Geometry,,Unit 6 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 6.",
y11_058,L5A,1–5 Feb 2027,Lent,,7,Unit 6 — Advanced Geometry,,Unit 6 full end-of-unit assessment,assessment,Advanced geometry assessment.,
y11_059,L6B,8–12 Feb 2027,Lent,,7,Unit 6 — Advanced Geometry,,"Unit 6 reflection, correction and reteach",flex,Correct misconceptions from Unit 6; bridge into mock preparation.,Final week before Lent half-term. No new unit start.
y11_060,L6B,8–12 Feb 2027,Lent,,0,Mock Preparation,,Mock preparation: geometry and advanced algebra retrieval,flex,"Retrieval across geometry, advanced algebra and calculus before Year 11 mock.",
y11_061,L6B,8–12 Feb 2027,Lent,,0,Mock Preparation,,Mock preparation: calculator strategy and common errors,flex,"Exam technique, calculator strategy and common mark-scheme errors.",
y11_062,L8B,1–5 Mar 2027,Lent,,0,Mock Review,,Mock review: paper-level gap analysis,flex,Return and analyse mock papers; identify class-level and individual gaps.,Year 11 mock results available. Mock review lessons.
y11_063,L8B,1–5 Mar 2027,Lent,,0,Mock Review,,Mock review: targeted reteaching from mock outcomes,flex,Targeted reteaching of highest-impact topics from mock outcomes.,
y11_064,L9A,8–12 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,"Basic probability, sample spaces and relative frequency",core,"Probability scale, listing outcomes and relative frequency.",Mock marking and Full Report 3 window.
y11_065,L9A,8–12 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Tree diagrams — independent and dependent events,core,Use tree diagrams for independent and dependent events.,
y11_066,L9A,8–12 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Conditional probability from tree diagrams,core,Calculate conditional probabilities using tree diagrams.,
y11_067,L10B,15–19 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Venn diagrams and set notation,core,Construct and use Venn diagrams with set notation.,Full Report 3 checking window.
y11_068,L10B,15–19 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Conditional probability from Venn diagrams,core,Extract conditional probabilities from Venn diagrams.,
y11_069,L10B,15–19 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Three-set Venn diagrams and set-builder notation,core,Use three-set Venn diagrams; write solutions using set-builder notation.,
y11_070,L11A,22–26 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Unit 7 revision lesson before assessment,flex,"Mixed review, common errors and exam-style practice for Unit 7.",Full Report 3 publication window.
y11_071,L11A,22–26 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,Unit 7 full end-of-unit assessment,assessment,Probability and Venn diagrams assessment.,
y11_072,L11A,22–26 Mar 2027,Lent,,8,Unit 7 — Probability and Venn Diagrams,,"Unit 7 reflection, correction and reteach",flex,Correct misconceptions from Unit 7; begin exam preparation.,
y11_073,L12B,29 Mar–2 Apr 2027,Lent,,0,Revision and Exam Preparation,,"Revision 2 — graphs, functions and calculus",flex,Targeted revision based on assessment and mock evidence.,"Final week before Easter. Last day Tue 1 Apr, 12pm close."
y11_074,L12B,29 Mar–2 Apr 2027,Lent,,0,Revision and Exam Preparation,,Revision 3 — geometry and trigonometry strand,flex,"Targeted revision of geometry, trigonometry, circle theorems and vectors.",
y11_075,L12B,29 Mar–2 Apr 2027,Lent,,0,Revision and Exam Preparation,,"Revision 4 — statistics, probability and vectors",flex,"Targeted revision of statistics, probability and vector geometry.",
y11_076,S1A,19–23 Apr 2027,Summer,,0,Revision and Exam Preparation,,Full Paper 1H practice,flex,Timed full Paper 1H (non-calculator) practice under exam conditions.,Summer term starts Mon 19 Apr. Final revision and exam preparation window.
y11_077,S1A,19–23 Apr 2027,Summer,,0,Revision and Exam Preparation,,Paper 1H feedback and gap reteach,flex,Mark and analyse Paper 1H; targeted reteaching of identified gaps.,
y11_078,S1A,19–23 Apr 2027,Summer,,0,Revision and Exam Preparation,,Targeted topic rotation 1,flex,Structured topic rotation addressing highest-frequency exam content.,
y11_079,S2B,26–30 Apr 2027,Summer,,0,Revision and Exam Preparation,,Full Paper 2H practice,flex,Timed full Paper 2H (calculator) practice under exam conditions.,
y11_080,S2B,26–30 Apr 2027,Summer,,0,Revision and Exam Preparation,,Paper 2H feedback and gap reteach,flex,Mark and analyse Paper 2H; targeted reteaching of identified gaps.,
y11_081,S2B,26–30 Apr 2027,Summer,,0,Revision and Exam Preparation,,Targeted topic rotation 2,flex,Structured topic rotation addressing class-specific weak areas.,
y11_082,S3A,3–7 May 2027,Summer,,0,Revision and Exam Preparation,,Grade 7–9 problem solving: algebra and graphs,flex,Challenging exam-style questions targeting grades 7–9 in algebra and graphs.,
y11_083,S3A,3–7 May 2027,Summer,,0,Revision and Exam Preparation,,Grade 7–9 problem solving: geometry and trigonometry,flex,Challenging exam-style questions targeting grades 7–9 in geometry and trigonometry.,
y11_084,S3A,3–7 May 2027,Summer,,0,Revision and Exam Preparation,,Grade 7–9 problem solving: statistics and probability,flex,Challenging exam-style questions targeting grades 7–9 in statistics and probability.,
y11_085,S4B,10–14 May 2027,Summer,,0,Revision and Exam Preparation,,"Final formulae, calculator and non-calculator routines",flex,"Revisit key formulae, calculator methods and written-method accuracy.",
y11_086,S4B,10–14 May 2027,Summer,,0,Revision and Exam Preparation,,Individual gap-analysis intervention,flex,Personalised gap-targeting based on past-paper and mock analysis.,
y11_087,S4B,10–14 May 2027,Summer,,0,Revision and Exam Preparation,,Pre-exam confidence paper and review,flex,"Final short practice paper; review, confidence-building and logistics.",
